epoch,accuracy,loss,val_accuracy,val_loss
0,0.6580900549888611,0.6192793250083923,0.6676136255264282,0.5698315501213074
1,0.7392380237579346,0.5296277403831482,0.7585227489471436,0.508715808391571
2,0.767936646938324,0.48447009921073914,0.7869318127632141,0.4734205901622772
3,0.7971301078796387,0.45385196805000305,0.7954545617103577,0.45321300625801086
4,0.8060365915298462,0.4366839826107025,0.7954545617103577,0.4402025043964386
5,0.8149430751800537,0.424089252948761,0.7869318127632141,0.4289252460002899
6,0.8144482970237732,0.41377463936805725,0.7926136255264282,0.4159385561943054
7,0.8287976384162903,0.39578890800476074,0.8125,0.40829208493232727
8,0.8253340125083923,0.3923744559288025,0.8068181872367859,0.4024773836135864
9,0.8302820324897766,0.3936798870563507,0.8096590638160706,0.39532944560050964
10,0.828302800655365,0.38547438383102417,0.8125,0.39268791675567627
11,0.8352301120758057,0.37718063592910767,0.8323863744735718,0.38274717330932617
12,0.8391885161399841,0.37232527136802673,0.8352272510528564,0.3774111568927765
13,0.8426521420478821,0.37282124161720276,0.84375,0.3711651861667633
14,0.8550222516059875,0.3517973721027374,0.8409090638160706,0.3669678866863251
15,0.854527473449707,0.3590501546859741,0.8522727489471436,0.36698639392852783
16,0.8480949997901917,0.3543875813484192,0.8494318127632141,0.36124104261398315
17,0.8550222516059875,0.3441210985183716,0.8607954382896423,0.3597905933856964
18,0.854527473449707,0.3483935296535492,0.8664772510528564,0.35337746143341064
19,0.8485897779464722,0.3495950996875763,0.8636363744735718,0.3523794114589691
20,0.8520534634590149,0.35084736347198486,0.8579545617103577,0.3505341708660126
21,0.8644235730171204,0.3354846239089966,0.8579545617103577,0.3502216339111328
22,0.8560118675231934,0.3399278521537781,0.8607954382896423,0.34900298714637756
23,0.8698664307594299,0.32309281826019287,0.8607954382896423,0.3445151150226593
24,0.8683819770812988,0.3326609134674072,0.8607954382896423,0.3456575274467468
25,0.8589807152748108,0.3313433825969696,0.8522727489471436,0.346121609210968
26,0.8683819770812988,0.3265394866466522,0.8579545617103577,0.35151419043540955
27,0.8594754934310913,0.3232704699039459,0.8693181872367859,0.3415625989437103
28,0.8664027452468872,0.32938307523727417,0.8693181872367859,0.338596910238266
29,0.8698664307594299,0.315710186958313,0.8579545617103577,0.34163299202919006
30,0.8693715929985046,0.3187861442565918,0.8693181872367859,0.3379642069339752
31,0.8713508248329163,0.3196105659008026,0.8607954382896423,0.33612367510795593
32,0.8827313184738159,0.30121296644210815,0.8693181872367859,0.3349057137966156
33,0.8703612089157104,0.3049449622631073,0.8664772510528564,0.3342718482017517
34,0.8713508248329163,0.3108660876750946,0.8579545617103577,0.339185506105423
35,0.8807520866394043,0.3023895025253296,0.8664772510528564,0.33290430903434753
36,0.8713508248329163,0.305747926235199,0.8607954382896423,0.33398568630218506
37,0.8762988448143005,0.30102065205574036,0.8551136255264282,0.3393692970275879
38,0.8693715929985046,0.30979061126708984,0.8607954382896423,0.3269301652908325
39,0.8817417025566101,0.302498996257782,0.8664772510528564,0.3256777822971344
