epoch,accuracy,loss,val_accuracy,val_loss
0,0.6966848373413086,0.585534393787384,0.7414772510528564,0.5178185105323792
1,0.7842652201652527,0.4660221040248871,0.7727272510528564,0.4492610991001129
2,0.8258287906646729,0.40186694264411926,0.8522727489471436,0.3849346935749054
3,0.8683819770812988,0.33831292390823364,0.8607954382896423,0.34490767121315
4,0.8837209343910217,0.30430904030799866,0.8835227489471436,0.31524860858917236
5,0.892132580280304,0.27816176414489746,0.8977272510528564,0.29056641459465027
6,0.9104403853416443,0.2426413744688034,0.90625,0.2630905210971832
7,0.9233052730560303,0.21242764592170715,0.9034090638160706,0.2521478831768036
8,0.9401286244392395,0.1845344752073288,0.9204545617103577,0.2386818528175354
9,0.9406234622001648,0.1720537692308426,0.9147727489471436,0.2321488857269287
10,0.9653636813163757,0.14137238264083862,0.9176136255264282,0.22144941985607147
11,0.9658584594726562,0.12416131794452667,0.9204545617103577,0.22233814001083374
12,0.9678376913070679,0.11801857501268387,0.9261363744735718,0.2116544395685196
13,0.9732805490493774,0.10653872787952423,0.9204545617103577,0.20827488601207733
14,0.9678376913070679,0.10311634838581085,0.9204545617103577,0.21065926551818848
15,0.9757545590400696,0.09145969897508621,0.9261363744735718,0.20302580296993256
16,0.9826818704605103,0.073821522295475,0.9176136255264282,0.2126932144165039
17,0.988124668598175,0.06160673499107361,0.9261363744735718,0.20009469985961914
18,0.9896091222763062,0.05760201811790466,0.9147727489471436,0.21081781387329102
19,0.9871350526809692,0.05950719490647316,0.9204545617103577,0.2049441933631897
20,0.9871350526809692,0.053532764315605164,0.9204545617103577,0.2040635645389557
21,0.9871350526809692,0.060565680265426636,0.9090909361839294,0.20310425758361816
22,0.9856506586074829,0.05830198898911476,0.9119318127632141,0.2264954000711441
23,0.9891142845153809,0.04787696525454521,0.9176136255264282,0.20911841094493866
24,0.9935675263404846,0.03963349014520645,0.9318181872367859,0.2015308290719986
25,0.9925779104232788,0.038774941116571426,0.9232954382896423,0.19476141035556793
26,0.9935675263404846,0.03660571947693825,0.9232954382896423,0.19015398621559143
27,0.9901039004325867,0.0452895350754261,0.9318181872367859,0.18973484635353088
28,0.9925779104232788,0.037311021238565445,0.9318181872367859,0.18927671015262604
29,0.996536374092102,0.028590181842446327,0.9375,0.18294958770275116
